Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, 
271685, 2204756.7707289895, 0, 268203, 2130113.689568946, 0, 262925, 2281286.840884541, 0, 261552, 2153310.1670100405, 0, 
271685, 2192012.184327127, 1, 269616, 2126029.60575063, 1, 259355, 2243356.0660802564, 1, 261552, 2149054.3585425788, 1, 
272170, 2179102.7131229704, 2, 269616, 2114873.84935556, 2, 259355, 2235093.206019369, 2, 261552, 2144130.2591859535, 2, 
272454, 2173441.827066828, 3, 269616, 2100805.3041016078, 3, 257152, 2203061.7140762233, 3, 261552, 2134582.413295306, 3, 
269341, 2130154.7374757947, 4, 269616, 2091467.5744073966, 4, 257152, 2178144.2096780753, 4, 260925, 2128937.2194537623, 4, 
269341, 2114116.31727183, 5, 269964, 2084428.025470552, 5, 257152, 2168497.541385999, 5, 260925, 2124397.2160148197, 5, 
269341, 2102509.2010921706, 6, 269964, 2068033.1817269183, 6, 252854, 2100866.1578289084, 6, 260925, 2109791.9330257094, 6, 
269341, 2086694.9740197344, 7, 269964, 2059459.1873950046, 7, 252854, 2094007.2460040725, 7, 258994, 2068871.791689218, 7, 
269341, 2080023.9491230927, 8, 271595, 2049382.1349389674, 8, 252918, 2073968.025652906, 8, 258994, 2053163.344688421, 8, 
269341, 2069069.2615265418, 9, 273315, 2055859.9241126962, 9, 252918, 2061855.631850479, 9, 258994, 2045277.815659435, 9, 
269341, 2055942.3786645397, 10, 272907, 2038824.5417305147, 10, 254604, 2049595.4573016195, 10, 258994, 2029521.37879512, 10, 
269341, 2042700.1811988803, 11, 268411, 1960235.9168585925, 11, 254198, 2030279.2955259301, 11, 259831, 2017366.722499311, 11, 
269341, 2029279.7074975048, 12, 269085, 1958990.7334938305, 12, 254294, 2019366.1668581306, 12, 259831, 1997788.8535931823, 12, 
269803, 2020867.346674337, 13, 265756, 1944601.124642365, 13, 254294, 2003380.9437694543, 13, 259982, 1992605.4333712102, 13, 
270274, 2018333.1480086118, 14, 265756, 1935575.3216113842, 14, 254294, 1987072.449312513, 14, 259982, 1986223.8876413743, 14, 
270274, 2006511.3897332847, 15, 266392, 1923718.0988221834, 15, 254294, 1976058.4045435758, 15, 259444, 1976592.0612202429, 15, 
270555, 1993915.0497148735, 16, 267374, 1923509.813953371, 16, 254282, 1964097.3004668155, 16, 259444, 1959913.6016272723, 16, 
269723, 1973380.2065827136, 17, 268481, 1922828.611431807, 17, 254282, 1951888.1838434024, 17, 259444, 1957105.1434269159, 17, 
269723, 1963652.0349488899, 18, 268481, 1919247.6483261313, 18, 253857, 1935808.9062297125, 18, 259444, 1944130.0442265233, 18, 
269723, 1960235.2604746872, 19, 268481, 1907808.2354182731, 19, 253857, 1920256.2539158212, 19, 259444, 1931285.9016810476, 19, 
269531, 1953343.905927068, 20, 268481, 1903399.4137110754, 20, 253857, 1911674.1030246683, 20, 256825, 1909307.202409503, 20, 
271123, 1943088.4022412624, 21, 268545, 1900096.8414810712, 21, 253857, 1904872.957657788, 21, 258379, 1904857.771221727, 21, 
271123, 1930227.233629991, 22, 264861, 1881690.366921928, 22, 253857, 1888301.4493775812, 22, 258379, 1902251.859631589, 22, 
268912, 1901738.3182125587, 23, 264861, 1864845.4491121483, 23, 253899, 1883836.1928816945, 23, 258379, 1894117.9756012529, 23, 
269606, 1884819.8026280182, 24, 265447, 1866225.0156651407, 24, 253899, 1868755.1341153758, 24, 256783, 1878785.1946151366, 24, 
269606, 1880613.1880006692, 25, 268735, 1917655.1041411967, 25, 254815, 1864723.28284415, 25, 256783, 1870128.4378704338, 25, 
269764, 1874902.9317089221, 26, 268735, 1908108.779234609, 26, 256669, 1854553.8084159375, 26, 257103, 1868770.233827755, 26, 
269764, 1865221.4150916638, 27, 267698, 1890518.7566197014, 27, 256669, 1851992.4626188618, 27, 257863, 1861929.1474007464, 27, 
269764, 1853570.046554819, 28, 267698, 1885082.9495682975, 28, 256669, 1842567.123997141, 28, 257863, 1849183.0939015571, 28, 
266272, 1819153.9630752236, 29, 267698, 1880093.9193811014, 29, 256190, 1825510.2969315383, 29, 257863, 1836905.1697959371, 29, 
266759, 1816094.5847577304, 30, 266828, 1864788.0993386742, 30, 256190, 1821809.7869394468, 30, 257863, 1828548.8636478162, 30, 
266759, 1806368.521261774, 31, 266828, 1855546.891804257, 31, 255554, 1808439.0366569005, 31, 258802, 1819005.0075933319, 31, 
266759, 1800273.3622716325, 32, 266828, 1850898.707060726, 32, 255554, 1803064.053427474, 32, 258802, 1817494.2485774062, 32, 
266759, 1796117.1646556046, 33, 266828, 1842849.7820354525, 33, 255554, 1793791.739897024, 33, 259640, 1815957.1676787296, 33, 
266759, 1783276.8809750648, 34, 266828, 1835240.8831750094, 34, 255554, 1788160.072101447, 34, 255899, 1779891.46632476, 34, 
266759, 1776456.8434603985, 35, 270153, 1852718.4249881352, 35, 255554, 1778122.255052849, 35, 257702, 1777202.8818662355, 35, 
266759, 1766983.0751519057, 36, 270153, 1849142.8279815214, 36, 255554, 1773343.2803108622, 36, 257702, 1771174.9935251644, 36, 
266759, 1761424.011063402, 37, 270153, 1840697.4000988342, 37, 256190, 1768615.1985580637, 37, 257702, 1762425.182741514, 37, 
266759, 1753619.5738896688, 38, 270153, 1838955.4213964501, 38, 256190, 1755936.562247858, 38, 258022, 1743081.283586966, 38, 
266759, 1740976.2817145174, 39, 270153, 1836784.7870846828, 39, 256190, 1748686.6928522892, 39, 258022, 1735130.7731098924, 39, 
266759, 1736816.0156934003, 40, 270153, 1829479.1857784004, 40, 256190, 1743679.728965582, 40, 258022, 1730191.630738262, 40, 
266759, 1733861.9227591963, 41, 270153, 1823007.6152095688, 41, 256190, 1728915.6842243734, 41, 258022, 1725234.942110679, 41, 
