Czas podrozy, Zarobek, Stworzony w generacji
6097.501872716324, 3306, 0
10508.152312173377, 3306, 0
6618.094805701606, 3306, 0
8615.535523169532, 3306, 0
7684.749723509889, 3306, 0
5541.781269197469, 3306, 0
5818.6560257813035, 3306, 0
8030.735649948322, 3306, 0
7461.460086340295, 3306, 0
6837.628420400075, 3306, 0
Czas podrozy, Zarobek, Stworzony w generacji
5497.223478317305, 3306, 1
6762.124032297696, 3306, 1
5199.269945960082, 3306, 1
6428.512900053866, 3306, 1
5397.237162211393, 3306, 1
4588.519352999741, 3306, 1
5203.435646799334, 3306, 1
7104.138113502393, 3306, 1
5339.538934626474, 3306, 1
6255.1642071397855, 3306, 1
Czas podrozy, Zarobek, Stworzony w generacji
5128.728556177617, 3306, 2
6194.074038480495, 3306, 2
5197.580793457701, 3306, 2
5962.87857050514, 3306, 2
5221.178735693584, 3306, 2
4530.2051134520525, 3306, 2
3910.290707098458, 3306, 2
6550.315441347847, 3306, 2
4638.793463723038, 3306, 2
5134.752515327309, 3306, 2
Czas podrozy, Zarobek, Stworzony w generacji
5125.092576628354, 3306, 3
4705.891204769391, 3306, 3
5027.601423003921, 3306, 3
5455.649507932747, 3306, 3
5118.342126203379, 3306, 3
4317.099864383606, 3306, 3
3840.6383722523046, 3306, 3
5586.165153423608, 3306, 3
4187.425775990181, 3306, 3
4789.116149856984, 3306, 3
Czas podrozy, Zarobek, Stworzony w generacji
4736.744113992296, 3306, 4
4595.567268312451, 3306, 4
5464.331106020952, 3306, 4
5455.649507932747, 3306, 4
4315.725188718143, 3306, 4
4044.864173308589, 3306, 4
3840.6383722523046, 3306, 4
5091.980542549026, 3306, 4
4117.525133441378, 3306, 4
4448.312657959741, 3306, 4
Czas podrozy, Zarobek, Stworzony w generacji
4736.744113992296, 3306, 5
4520.272763011387, 3306, 5
5464.331106020952, 3306, 5
5420.605706749874, 3306, 5
4315.725188718143, 3306, 5
4044.864173308589, 3306, 5
3840.6383722523046, 3306, 5
4898.755427718558, 3306, 5
4117.525133441378, 3306, 5
4448.312657959741, 3306, 5
Czas podrozy, Zarobek, Stworzony w generacji
4224.678401805417, 3306, 6
4490.207075486057, 3306, 6
5464.331106020952, 3306, 6
4750.795128542207, 3306, 6
3799.208538200865, 3306, 6
3974.9288488428733, 3306, 6
3840.6383722523046, 3306, 6
4898.755427718558, 3306, 6
4117.525133441378, 3306, 6
4448.312657959741, 3306, 6
Czas podrozy, Zarobek, Stworzony w generacji
4224.678401805417, 3306, 7
4490.207075486057, 3306, 7
5464.331106020952, 3306, 7
4750.795128542207, 3306, 7
3785.6644209106485, 3306, 7
3974.9288488428733, 3306, 7
3759.9494005475744, 3306, 7
4898.755427718558, 3306, 7
4044.808557838117, 3306, 7
4448.312657959741, 3306, 7
Czas podrozy, Zarobek, Stworzony w generacji
4224.678401805417, 3306, 8
4490.207075486057, 3306, 8
